P1,V1,V1min,V1max
1445163840.9,1428521524.69,1405680180.42,1428521524.69
1383699744.47,1405680180.42,1405680180.42,1428521524.69
1434313074.17,1428521524.69,1405680180.42,1428521524.69
1478155173.15,1428521524.69,1405680180.42,1428521524.69
1483895122.9,1428521524.69,1405680180.42,1428521524.69
1493586978.01,1428521524.69,1405680180.42,1428521524.69
1446201176.02,1428521524.69,1405680180.42,1428521524.69
1428201664.11,1428201664.11,1405680180.42,1428521524.69
1412164482.19,1412164482.19,1405680180.42,1428521524.69
1350032804.18,1405680180.42,1405680180.42,1428521524.69
