PCADimension1,PCADimension9,PCADimension25,PCADimension27,PCADimension12,PCADimension2,PCADimension8,PCADimension10,PCADimension11,PCADimension23,PCADimension29,PCADimension24,PCADimension6,PCADimension13,BOP.portElec_b.W,BOP.steamTurbine.portHP.p,Time,SC.demand_BOP.y[1]
46.7027618011,-3.02131004845,-0.436583550326,1.09982750359,1.42911569065,244.379257337,12.7021430206,-0.808608085912,-6.82238634223,1.29310036157,-0.269446569856,1.15267417336,48.2557642943,12.4895320157,1145600000.0,5441800.0,7210,1145700000.0
30.6789855113,-7.27132270595,-0.784295768763,-0.592401708461,-15.4832774543,42.6833572761,-4.99215654398,-2.34123815151,14.3140746439,1.73684549884,-1.97590867533,2.60705662198,60.1261250003,-16.6934101382,1145700000.0,5442100.0,7220,1145800000.0
32.2208007399,8.44770267095,-2.93466211089,4.51184057106,-13.5299575409,42.316547147,-7.23867414492,2.84072023818,18.7141417915,5.17370754426,-1.02452952471,3.15958385955,-37.9794957413,-1.26870608937,1145800000.0,5442400.0,7230,1145800000.0
32.862689894,7.23948447921,-1.9419514811,3.89752806535,-5.94068972437,53.8164865474,-2.30416576977,3.39890197952,14.6510946587,3.03416238789,0.17648333777,0.527037082421,-48.5080952928,8.35749066961,1145800000.0,5442800.0,7240,1145900000.0
33.4026427405,-0.242475114716,1.25112350479,-1.69696052056,-12.6165155761,63.700293585,-1.0804252074,0.819425460512,22.920590156,0.0487050728776,1.33230230259,-0.0138573185835,-13.4474275943,-16.6240564919,1145900000.0,5443100.0,7250,1146000000.0
33.6981515628,-0.757906468676,-1.19441898478,0.472293808248,-10.7914205681,67.9183638821,-8.58923684393,2.38497860573,20.2767015079,1.29501145456,-0.293015980922,-0.386262443451,9.04334777309,-18.8308901438,1146000000.0,5443400.0,7260,1146100000.0
33.1783766756,-3.4222158096,-2.59327685079,2.29808010788,-5.4964175552,64.9595026353,-9.95120653546,4.07814201497,20.7025704921,0.023054921234,-0.300746726402,-2.20796552056,11.1458403785,-19.4761867807,1146100000.0,5443700.0,7270,1146100000.0
32.6782348781,-4.91787808817,0.484539945834,-0.881628643932,-7.4362941366,60.3416051711,-2.32954819352,1.84791273383,22.9036164236,-1.63273644237,0.698872984472,-1.67632602881,1.10645362485,-18.2981128254,1146100000.0,5444100.0,7280,1146200000.0
32.6692945868,-4.66160381262,0.888522071809,-0.542216298788,-7.05547408895,59.8815278492,-2.55683052544,1.65256760868,22.4468448503,-1.06824170615,-0.210221674257,-1.01612736584,-1.3885697012,-16.2654204429,1146200000.0,5444400.0,7290,1146300000.0
31.8329667417,-2.76760616711,0.718343956803,-0.197135616206,-1.03767425676,52.4647929481,-2.30387689053,2.32038815011,12.5750548028,-0.427150308974,0.320660101259,-0.453709185109,-2.59000361145,3.92293489925,1146300000.0,5444700.0,7300,1146400000.0
31.9523570107,-3.10968873804,0.531783733921,0.0437899117814,-2.30625702964,53.7608813677,-2.18948168504,2.54196660603,14.5960488514,-0.600942803954,0.0880930649442,-0.563350933246,-2.00729287631,-0.0466469312918,1146400000.0,5445000.0,7310,1146500000.0
32.2480334946,-4.34388294827,-0.240831498332,-0.0562931948795,-6.96435472548,57.4918595756,-2.01099624986,2.38064049477,20.6739341052,-0.761586124524,-0.543153789534,-0.504551637933,-0.323093601374,-15.7536107325,1146500000.0,5445400.0,7320,1146500000.0
32.2685102271,-4.48243444424,-1.06487105247,0.124981457446,-7.20346299733,57.9534644341,-1.69073187838,2.7072648178,20.9990296799,-1.17857746971,0.124494578895,-1.13583897937,1.46468713731,-16.7780550867,1146500000.0,5445700.0,7330,1146600000.0
32.264696491,-4.51253524297,-1.05149217621,0.127867673961,-7.1633531502,57.8636829956,-1.81376763992,2.27498127787,20.9611969993,-1.1686956744,0.152680292597,-1.08969086964,1.14889665872,-16.6698692603,1146600000.0,5446000.0,7340,1146700000.0
32.2723954048,-4.59080741,-1.05456111691,0.119182970452,-7.15133933161,57.8824890314,-1.89819169955,1.96900070395,20.9905018265,-1.18047454621,0.181801677495,-1.13904304232,0.892994930067,-16.6421647968,1146700000.0,5446300.0,7350,1146800000.0
32.2297699408,-4.60894893089,-0.247969171985,-0.0608621582993,-6.93057859026,57.3123204536,-2.22957412807,1.55610249598,20.6142331043,-0.790192986372,-0.494298653138,-0.528482762641,-0.0801573437303,-15.7513719845,1146800000.0,5446700.0,7360,1146800000.0
31.7834993887,-3.34286529868,0.0932225699066,-0.373073513801,-2.38345695502,52.4784230133,-2.36915370246,1.88652313689,13.8536303338,-0.220155318231,-0.185096747125,-0.213407098502,-0.824035956389,-0.286075478552,1146800000.0,5447000.0,7370,1146900000.0
31.6407113956,-2.95081935082,0.113309368936,-0.39829584096,-1.07591714749,51.0151611896,-2.38444546452,1.91592469041,11.6843555393,0.00417433492691,-0.0677672993841,-0.0521618328585,-1.0705968647,3.95873011259,1146900000.0,5447300.0,7380,1147000000.0
31.6436893572,-2.96205352547,0.111795698088,-0.404731677473,-1.08083034328,51.0213864855,-2.385154906,1.91025246192,11.6953459701,-0.00415700506263,-0.0598013062893,-0.0815110300558,-1.12168084792,3.93330332471,1147000000.0,5447600.0,7390,1147100000.0
31.632690053,-2.93969954896,0.113018297975,-0.398563669486,-1.08027992111,50.940002212,-2.37070850042,1.9392364983,11.6491940928,-0.00724330484355,-0.0540253805444,-0.0788500574439,-1.13252549916,3.90916082194,1147100000.0,5448000.0,7400,1147200000.0
31.545250549,-2.88765710919,0.170024788218,-0.325724470932,-1.00818092536,50.4866542,-2.27229220825,1.95928980831,11.3346179867,-0.0796464444716,-0.182271062418,0.0325569846124,-1.09394763156,3.80108078398,1147200000.0,5448300.0,7410,1147200000.0
31.5391227347,-2.87304208267,0.169995748117,-0.316907824351,-1.01485547968,50.4114731349,-2.23866897009,2.04267734441,11.2908289664,-0.0886451108372,-0.177012104692,0.0123612980255,-1.04887198176,3.74925724045,1147200000.0,5448600.0,7420,1147300000.0
