Time,add.y,Electric_Power,Firing_Temperature,SES.CS.W_totalSetpoint
50,30,30000000,1261.55908203125,30000000
60,30,30000000,1261.55908203125,30000000
70,30,30000000,1261.55908203125,30000000
80,30,30000000,1261.55908203125,30000000
90,30,30000000,1261.55908203125,30000000
100,35,30000000,1261.55908203125,30000000
110,35,35000044,1340.547119140625,35000000
120,35,35000004,1340.5465087890625,35000000
130,35,35000000,1340.54638671875,35000000
140,35,35000000,1340.54638671875,35000000
150,35,35000000,1340.54638671875,35000000
160,35,35000000,1340.54638671875,35000000
170,35,35000000,1340.54638671875,35000000
180,35,35000000,1340.54638671875,35000000
190,35,35000000,1340.54638671875,35000000
200,35,35000000,1340.54638671875,35000000
210,35,35000000,1340.54638671875,35000000
220,35,35000000,1340.54638671875,35000000
230,35,35000000,1340.54638671875,35000000
240,35,35000000,1340.54638671875,35000000
250,35,35000000,1340.54638671875,35000000
260,35,35000000,1340.54638671875,35000000
270,35,35000000,1340.54638671875,35000000
280,35,35000000,1340.54638671875,35000000
290,35,35000000,1340.54638671875,35000000
300,35,35000000,1340.54638671875,35000000
310,35,35000000,1340.54638671875,35000000
320,35,35000000,1340.54638671875,35000000
330,35,35000000,1340.54638671875,35000000
340,35,35000000,1340.54638671875,35000000
350,35,35000000,1340.54638671875,35000000
360,35,35000000,1340.54638671875,35000000
370,35,35000000,1340.54638671875,35000000
380,35,35000000,1340.54638671875,35000000
390,35,35000000,1340.54638671875,35000000
400,35,35000000,1340.54638671875,35000000
410,35,35000000,1340.54638671875,35000000
420,35,35000000,1340.54638671875,35000000
430,35,35000000,1340.54638671875,35000000
440,35,35000000,1340.54638671875,35000000
450,35,35000000,1340.54638671875,35000000
460,35,35000000,1340.54638671875,35000000
470,35,35000000,1340.54638671875,35000000
480,35,35000000,1340.54638671875,35000000
490,35,35000000,1340.54638671875,35000000
500,35,35000000,1340.54638671875,35000000
510,35,35000000,1340.54638671875,35000000
520,35,35000000,1340.54638671875,35000000
530,35,35000000,1340.54638671875,35000000
540,35,35000000,1340.54638671875,35000000
550,35,35000000,1340.54638671875,35000000
560,35,35000000,1340.54638671875,35000000
570,35,35000000,1340.54638671875,35000000
580,35,35000000,1340.54638671875,35000000
590,35,35000000,1340.54638671875,35000000
600,30,35000000,1340.54638671875,35000000
610,30,30000090,1261.560546875,30000000
620,30,30000006,1261.5592041015625,30000000
630,30,30000000,1261.55908203125,30000000
640,30,30000000,1261.55908203125,30000000
650,30,30000000,1261.55908203125,30000000
660,30,30000000,1261.55908203125,30000000
670,30,30000000,1261.55908203125,30000000
680,30,30000000,1261.55908203125,30000000
690,30,30000000,1261.55908203125,30000000
700,30,30000000,1261.55908203125,30000000
710,30,30000000,1261.55908203125,30000000
720,30,30000000,1261.55908203125,30000000
730,30,30000000,1261.55908203125,30000000
740,30,30000000,1261.55908203125,30000000
750,30,30000000,1261.55908203125,30000000
760,30,30000000,1261.55908203125,30000000
770,30,30000000,1261.55908203125,30000000
780,30,30000000,1261.55908203125,30000000
790,30,30000000,1261.55908203125,30000000
800,30,30000000,1261.55908203125,30000000
810,30,30000000,1261.55908203125,30000000
820,30,30000000,1261.55908203125,30000000
830,30,30000000,1261.55908203125,30000000
840,30,30000000,1261.55908203125,30000000
850,30,30000000,1261.55908203125,30000000
860,30,30000000,1261.55908203125,30000000
870,30,30000000,1261.55908203125,30000000
880,30,30000000,1261.55908203125,30000000
890,30,30000000,1261.55908203125,30000000
900,30,30000000,1261.55908203125,30000000
910,30,30000000,1261.55908203125,30000000
920,30,30000000,1261.55908203125,30000000
930,30,30000000,1261.55908203125,30000000
940,30,30000000,1261.55908203125,30000000
950,30,30000000,1261.55908203125,30000000
960,30,30000000,1261.55908203125,30000000
970,30,30000000,1261.55908203125,30000000
980,30,30000000,1261.55908203125,30000000
990,30,30000000,1261.55908203125,30000000
1000,30,30000000,1261.55908203125,30000000
1010,30,30000000,1261.55908203125,30000000
1020,30,30000000,1261.55908203125,30000000
1030,30,30000000,1261.55908203125,30000000
1040,30,30000000,1261.55908203125,30000000
1050,30,30000000,1261.55908203125,30000000
1060,30,30000000,1261.55908203125,30000000
1070,30,30000000,1261.55908203125,30000000
1080,30,30000000,1261.55908203125,30000000
1090,30,30000000,1261.55908203125,30000000
1100,35,30000000,1261.55908203125,30000000
1110,35,35000044,1340.547119140625,35000000
1120,35,35000004,1340.5465087890625,35000000
1130,35,35000000,1340.54638671875,35000000
1140,35,35000000,1340.54638671875,35000000
1150,35,35000000,1340.54638671875,35000000
1160,35,35000000,1340.54638671875,35000000
1170,35,35000000,1340.54638671875,35000000
1180,35,35000000,1340.54638671875,35000000
1190,35,35000000,1340.54638671875,35000000
1200,35,35000000,1340.54638671875,35000000
1210,35,35000000,1340.54638671875,35000000
1220,35,35000000,1340.54638671875,35000000
1230,35,35000000,1340.54638671875,35000000
1240,35,35000000,1340.54638671875,35000000
1250,35,35000000,1340.54638671875,35000000
1260,35,35000000,1340.54638671875,35000000
1270,35,35000000,1340.54638671875,35000000
1280,35,35000000,1340.54638671875,35000000
1290,35,35000000,1340.54638671875,35000000
1300,35,35000000,1340.54638671875,35000000
1310,35,35000000,1340.54638671875,35000000
1320,35,35000000,1340.54638671875,35000000
1330,35,35000000,1340.54638671875,35000000
1340,35,35000000,1340.54638671875,35000000
1350,35,35000000,1340.54638671875,35000000
1360,35,35000000,1340.54638671875,35000000
1370,35,35000000,1340.54638671875,35000000
1380,35,35000000,1340.54638671875,35000000
1390,35,35000000,1340.54638671875,35000000
1400,35,35000000,1340.54638671875,35000000
1410,35,35000000,1340.54638671875,35000000
1420,35,35000000,1340.54638671875,35000000
1430,35,35000000,1340.54638671875,35000000
1440,35,35000000,1340.54638671875,35000000
1450,35,35000000,1340.54638671875,35000000
1460,35,35000000,1340.54638671875,35000000
1470,35,35000000,1340.54638671875,35000000
1480,35,35000000,1340.54638671875,35000000
1490,35,35000000,1340.54638671875,35000000
1500,35,35000000,1340.54638671875,35000000
1510,35,35000000,1340.54638671875,35000000
1520,35,35000000,1340.54638671875,35000000
1530,35,35000000,1340.54638671875,35000000
1540,35,35000000,1340.54638671875,35000000
1550,35,35000000,1340.54638671875,35000000
1560,35,35000000,1340.54638671875,35000000
1570,35,35000000,1340.54638671875,35000000
1580,35,35000000,1340.54638671875,35000000
1590,35,35000000,1340.54638671875,35000000
1600,30,35000000,1340.54638671875,35000000
1610,30,30000090,1261.560546875,30000000
1620,30,30000006,1261.5592041015625,30000000
1630,30,30000000,1261.55908203125,30000000
1640,30,30000000,1261.55908203125,30000000
1650,30,30000000,1261.55908203125,30000000
1660,30,30000000,1261.55908203125,30000000
1670,30,30000000,1261.55908203125,30000000
1680,30,30000000,1261.55908203125,30000000
1690,30,30000000,1261.55908203125,30000000
1700,30,30000000,1261.55908203125,30000000
1710,30,30000000,1261.55908203125,30000000
1720,30,30000000,1261.55908203125,30000000
1730,30,30000000,1261.55908203125,30000000
1740,30,30000000,1261.55908203125,30000000
1750,30,30000000,1261.55908203125,30000000
1760,30,30000000,1261.55908203125,30000000
1770,30,30000000,1261.55908203125,30000000
1780,30,30000000,1261.55908203125,30000000
1790,30,30000000,1261.55908203125,30000000
1800,30,30000000,1261.55908203125,30000000
1810,30,30000000,1261.55908203125,30000000
1820,30,30000000,1261.55908203125,30000000
1830,30,30000000,1261.55908203125,30000000
1840,30,30000000,1261.55908203125,30000000
1850,30,30000000,1261.55908203125,30000000
1860,30,30000000,1261.55908203125,30000000
1870,30,30000000,1261.55908203125,30000000
1880,30,30000000,1261.55908203125,30000000
1890,30,30000000,1261.55908203125,30000000
1900,30,30000000,1261.55908203125,30000000
1910,30,30000000,1261.55908203125,30000000
1920,30,30000000,1261.55908203125,30000000
1930,30,30000000,1261.55908203125,30000000
1940,30,30000000,1261.55908203125,30000000
1950,30,30000000,1261.55908203125,30000000
1960,30,30000000,1261.55908203125,30000000
1970,30,30000000,1261.55908203125,30000000
1980,30,30000000,1261.55908203125,30000000
1990,30,30000000,1261.55908203125,30000000
2000,30,30000000,1261.55908203125,30000000
2010,30,30000000,1261.55908203125,30000000
2020,30,30000000,1261.55908203125,30000000
2030,30,30000000,1261.55908203125,30000000
2040,30,30000000,1261.55908203125,30000000
2050,30,30000000,1261.55908203125,30000000
2060,30,30000000,1261.55908203125,30000000
2070,30,30000000,1261.55908203125,30000000
2080,30,30000000,1261.55908203125,30000000
2090,30,30000000,1261.55908203125,30000000
2100,35,30000000,1261.55908203125,30000000
2110,35,35000044,1340.547119140625,35000000
2120,35,35000004,1340.5465087890625,35000000
2130,35,35000000,1340.54638671875,35000000
2140,35,35000000,1340.54638671875,35000000
2150,35,35000000,1340.54638671875,35000000
2160,35,35000000,1340.54638671875,35000000
2170,35,35000000,1340.54638671875,35000000
2180,35,35000000,1340.54638671875,35000000
2190,35,35000000,1340.54638671875,35000000
2200,35,35000000,1340.54638671875,35000000
2210,35,35000000,1340.54638671875,35000000
2220,35,35000000,1340.54638671875,35000000
2230,35,35000000,1340.54638671875,35000000
2240,35,35000000,1340.54638671875,35000000
2250,35,35000000,1340.54638671875,35000000
2260,35,35000000,1340.54638671875,35000000
2270,35,35000000,1340.54638671875,35000000
2280,35,35000000,1340.54638671875,35000000
2290,35,35000000,1340.54638671875,35000000
2300,35,35000000,1340.54638671875,35000000
2310,35,35000000,1340.54638671875,35000000
2320,35,35000000,1340.54638671875,35000000
2330,35,35000000,1340.54638671875,35000000
2340,35,35000000,1340.54638671875,35000000
2350,35,35000000,1340.54638671875,35000000
2360,35,35000000,1340.54638671875,35000000
2370,35,35000000,1340.54638671875,35000000
2380,35,35000000,1340.54638671875,35000000
2390,35,35000000,1340.54638671875,35000000
2400,35,35000000,1340.54638671875,35000000
2410,35,35000000,1340.54638671875,35000000
2420,35,35000000,1340.54638671875,35000000
2430,35,35000000,1340.54638671875,35000000
2440,35,35000000,1340.54638671875,35000000
2450,35,35000000,1340.54638671875,35000000
2460,35,35000000,1340.54638671875,35000000
2470,35,35000000,1340.54638671875,35000000
2480,35,35000000,1340.54638671875,35000000
2490,35,35000000,1340.54638671875,35000000
2500,35,35000000,1340.54638671875,35000000
2510,35,35000000,1340.54638671875,35000000
2520,35,35000000,1340.54638671875,35000000
2530,35,35000000,1340.54638671875,35000000
2540,35,35000000,1340.54638671875,35000000
2550,35,35000000,1340.54638671875,35000000
2560,35,35000000,1340.54638671875,35000000
2570,35,35000000,1340.54638671875,35000000
2580,35,35000000,1340.54638671875,35000000
2590,35,35000000,1340.54638671875,35000000
2600,30,35000000,1340.54638671875,35000000
2610,30,30000090,1261.560546875,30000000
2620,30,30000006,1261.5592041015625,30000000
2630,30,30000000,1261.55908203125,30000000
2640,30,30000000,1261.55908203125,30000000
2650,30,30000000,1261.55908203125,30000000
2660,30,30000000,1261.55908203125,30000000
2670,30,30000000,1261.55908203125,30000000
2680,30,30000000,1261.55908203125,30000000
2690,30,30000000,1261.55908203125,30000000
2700,30,30000000,1261.55908203125,30000000
2710,30,30000000,1261.55908203125,30000000
2720,30,30000000,1261.55908203125,30000000
2730,30,30000000,1261.55908203125,30000000
2740,30,30000000,1261.55908203125,30000000
2750,30,30000000,1261.55908203125,30000000
2760,30,30000000,1261.55908203125,30000000
2770,30,30000000,1261.55908203125,30000000
2780,30,30000000,1261.55908203125,30000000
2790,30,30000000,1261.55908203125,30000000
2800,30,30000000,1261.55908203125,30000000
2810,30,30000000,1261.55908203125,30000000
2820,30,30000000,1261.55908203125,30000000
2830,30,30000000,1261.55908203125,30000000
2840,30,30000000,1261.55908203125,30000000
2850,30,30000000,1261.55908203125,30000000
2860,30,30000000,1261.55908203125,30000000
2870,30,30000000,1261.55908203125,30000000
2880,30,30000000,1261.55908203125,30000000
2890,30,30000000,1261.55908203125,30000000
2900,30,30000000,1261.55908203125,30000000
2910,30,30000000,1261.55908203125,30000000
2920,30,30000000,1261.55908203125,30000000
2930,30,30000000,1261.55908203125,30000000
2940,30,30000000,1261.55908203125,30000000
2950,30,30000000,1261.55908203125,30000000
2960,30,30000000,1261.55908203125,30000000
2970,30,30000000,1261.55908203125,30000000
2980,30,30000000,1261.55908203125,30000000
2990,30,30000000,1261.55908203125,30000000
3000,30,30000000,1261.55908203125,30000000
3010,30,30000000,1261.55908203125,30000000
3020,30,30000000,1261.55908203125,30000000
3030,30,30000000,1261.55908203125,30000000
3040,30,30000000,1261.55908203125,30000000
