Time,SES_Demand_MW,Electric_Power,Firing_Temperature,SES.CS.feedback_W_gen.u2,SES.ED.sensorBus.W_gen
1.80E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.81E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.82E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.83E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.84E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.85E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.86E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.87E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.88E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.89E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.90E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.91E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.92E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.93E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.94E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.95E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.96E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.97E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.98E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
1.99E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.00E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.01E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.02E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.03E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.04E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.05E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.06E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.07E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.08E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.09E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.10E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.11E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.12E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.13E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.14E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.15E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.16E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.17E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.18E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.19E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.20E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.21E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.22E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.23E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.24E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.25E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.26E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.27E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.28E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.29E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.30E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.31E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
2.32E+03,1.70E+01,1.70E+07,1.05E+03,1.70E+07,1.70E+07
